"Points:0","Points:1","Points:2","velocity_:0","velocity_:1","w_he"
0.016013,0.024582,0,-0.00020808,-0.0019467,0.00015579
0.016319,0.024732,0,-0.00024197,-0.0018377,0.00014093
0.016263,0.02439,0,-0.00022488,-0.0019738,0.00014868
0.016166,0.024657,0,-0.00022573,-0.0018931,0.00014836
0.016291,0.024561,0,-0.00023363,-0.0019055,0.00014481
0.016138,0.024486,0,-0.0002168,-0.0019618,0.00015223
0.00039167,-0.003344,0,0.10136,-7.5036,0.81474
0.00039276,-0.0032373,0,0.10476,-7.5033,0.81668
0.00028947,-0.0033146,0,0.098209,-9.2586,0.85979
0.0047476,-0.0073121,0,-0.024601,0.024316,0.033941
0.0047552,-0.0071122,0,-0.024568,0.024496,0.033658
0.0049472,-0.0072943,0,-0.023814,0.022391,0.031304
0.0047514,-0.0072122,0,-0.024585,0.024408,0.0338
0.0048512,-0.0072033,0,-0.02418,0.023434,0.032481
0.0048474,-0.0073032,0,-0.024199,0.023341,0.032623
0.017876,0.029336,0,-0.00018528,-0.00018794,5.8546e-05
0.01797,0.029129,0,-0.00022295,-0.00024603,5.6082e-05
0.017816,0.029268,0,-0.00019714,-0.00020824,6.0324e-05
0.017923,0.029232,0,-0.00020535,-0.00021729,5.7314e-05
0.017863,0.029165,0,-0.00021599,-0.00023772,5.9093e-05
0.0088443,-0.015425,0,-0.022651,-0.0094746,0.0097014
0.0085836,-0.015578,0,-0.023217,-0.009537,0.010503
0.0086405,-0.01527,0,-0.022875,-0.0091937,0.010151
0.008714,-0.015502,0,-0.022933,-0.0095055,0.010102
0.008612,-0.015424,0,-0.023053,-0.0093662,0.010327
0.0087424,-0.015347,0,-0.022767,-0.0093415,0.0099262
0.011977,0.00045671,0,-0.0020323,-0.011043,0.0057669
0.011655,0.00024572,0,-0.0024769,-0.0099194,0.0061616
0.011617,0.00066249,0,-0.0014815,-0.0095019,0.0062459
0.011816,0.00035121,0,-0.0022499,-0.010489,0.0059643
0.011636,0.0004541,0,-0.0019824,-0.0097164,0.0062037
0.011797,0.0005596,0,-0.0017681,-0.010289,0.0060064
0.0092728,0.029589,0,0.00012124,-0.00010851,0.00028901
0.009274,0.029492,0,0.00014596,-0.00013407,0.00028938
0.0093653,0.029547,0,0.00013092,-0.00011988,0.00028734
0.0012984,-8.5978e-05,0,-0.10443,-0.024314,0.13882
0.0013591,-0.00021774,0,-0.14698,-0.016738,0.13054
0.0012281,-0.00017813,0,-0.16767,-0.0068776,0.15753
0.0013288,-0.00015186,0,-0.13397,-0.0224,0.13468
0.0012936,-0.00019793,0,-0.15872,-0.013473,0.14404
0.0012633,-0.00013205,0,-0.13782,-0.016468,0.14818
0.0083271,-0.0084634,0,-0.017093,-0.00050445,0.010435
0.0082239,-0.0085304,0,-0.017274,-0.00015075,0.010736
0.0082037,-0.0083911,0,-0.01723,6.4879e-05,0.010809
0.0011222,-0.00011263,0,-0.14933,0.0047102,0.19144
0.0011388,-0.00024113,0,-0.21434,0.016382,0.18398
0.0011752,-0.00014538,0,-0.16299,-0.00075396,0.17449
0.0011835,-0.00020963,0,-0.19142,0.0045526,0.17076
0.0011305,-0.00017688,0,-0.19239,0.009943,0.18771
0.010496,-0.012976,0,-0.017561,-0.0083883,0.005862
0.010751,-0.012838,0,-0.01701,-0.008483,0.0055089
0.010681,-0.013211,0,-0.017534,-0.0085635,0.0056285
0.010624,-0.012907,0,-0.017287,-0.0084363,0.0056854
0.010716,-0.013025,0,-0.017271,-0.0085191,0.0055687
0.010588,-0.013094,0,-0.017548,-0.0084821,0.0057452
0.0066346,0.023213,0,0.00033283,-0.00068264,0.00056092
