"velocity:0","velocity:1","w_he"
-0.01598,0.0057039,0.012964
-0.01622,0.0069412,0.013728
-0.015742,0.0059764,0.013063
-0.016098,0.0063177,0.013346
-0.01598,0.0064555,0.013395
-0.015864,0.005841,0.013013
-0.014032,-0.00067494,0.0094019
-0.014272,-9.3988e-05,0.0096966
-0.014112,-8.1424e-05,0.0096943
0.014558,-6.2465,0.58062
0.020063,-5.9336,0.56923
0.014683,-6.2549,0.5815
-0.00019481,-0.0024314,0.00014412
-0.00021241,-0.0021467,0.00011872
-0.00020136,-0.0022943,0.00012816
-0.0002056,-0.002295,0.00013142
-0.00020712,-0.0022199,0.00012344
-0.00019892,-0.0023696,0.00013614
0.00044304,0.0038864,0.011512
0.00061759,0.0045889,0.011222
0.00030991,0.0031077,0.011126
-0.0098592,0.0036123,0.011578
-0.010449,0.0045005,0.012037
-0.0097614,0.005051,0.012343
-0.010152,0.0040549,0.011808
-0.010115,0.0047749,0.01219
-0.0098125,0.0043297,0.011961
-0.026031,0.029145,0.037879
-0.026041,0.029321,0.037663
-0.025074,0.027127,0.035007
-0.026037,0.029235,0.037771
-0.025543,0.028216,0.036335
-0.025542,0.028124,0.036443
-0.019953,0.0036893,0.015608
-0.019726,0.0025259,0.014633
-0.020096,0.0034159,0.015674
-0.019838,0.0030985,0.01512
-0.01991,0.0029649,0.015153
-0.020024,0.0035538,0.015641
-0.025063,0.027295,0.034829
-0.025541,0.028296,0.036246
-0.02507,0.027213,0.034918
-0.024019,-0.0023526,0.018315
-0.024031,-0.0027893,0.017907
-0.02385,-0.0025584,0.017759
0.00017534,-0.00021896,0.00038616
0.00017576,-0.00021669,0.00038373
0.0001529,-0.00019396,0.0003855
0.0031322,0.0073516,0.0084069
0.0028037,0.0065607,0.0078926
0.003772,0.0071607,0.0080188
0.0029607,0.0069472,0.0081498
0.0032791,0.0069079,0.0079557
0.0034602,0.0073022,0.0082129
-0.0001415,-0.00072319,3.2886e-05
-0.00014316,-0.00070667,3.2356e-05
-0.00016867,-0.0008869,4.1528e-05
-0.015109,-0.0085072,0.0051639
-0.015217,-0.0083709,0.0053268
-0.015421,-0.0083581,0.0053494
0.00033277,-0.00049746,0.0010516
0.0003224,-0.00049572,0.0010172
0.00027711,-0.00040841,0.001058
-0.0014248,-0.010651,0.0060231
-0.0015851,-0.0099839,0.0062524
-0.0018741,-0.010791,0.0060027
-0.020432,0.011923,0.020265
-0.020039,0.010454,0.018942
-0.020508,0.011662,0.020317
-0.020232,0.011179,0.019603
-0.020271,0.01105,0.01963
-0.02047,0.011794,0.020291
0.0015922,-0.0040383,0.0010936
0.0017412,-0.0041233,0.0011897
0.0016416,-0.0036443,0.0011862
0.0016654,-0.0040821,0.0011417
0.0016938,-0.0038797,0.0011879
0.0016209,-0.0038456,0.0011399
-0.0029768,-0.0082864,0.0068608
-0.0028766,-0.0090203,0.006621
-0.0025453,-0.008167,0.0068847
-0.00019122,-0.0018334,0.00016311
-0.00020101,-0.0018484,0.00015913
-0.00018203,-0.0019006,0.00016731
-0.015482,-0.0072139,0.0036062
-0.015665,-0.0072079,0.0037682
-0.016159,-0.0077265,0.0039454
-0.015604,-0.0072064,0.0036872
-0.015929,-0.0074795,0.0038568
-0.015823,-0.0074769,0.0037758
-0.021283,0.002783,0.017249
-0.021502,0.004121,0.018549
-0.021105,0.0031057,0.017146
-0.02139,0.0034398,0.017899
-0.021302,0.0036048,0.017848
-0.021193,0.0029459,0.017198
0.00041891,-6.6467,0.60221
0.018913,-6.1541,0.58641
0.015007,-6.3032,0.58666
0.010223,-6.5176,0.59431
0.016978,-6.2329,0.58653
0.0079783,-6.5502,0.59443
0.0012974,0.0015404,0.0038889
0.0013774,0.0017279,0.0040625
0.0015221,0.0014928,0.0038425
-0.010362,-0.010628,0.0054218
-0.010047,-0.01154,0.0050648
-0.010634,-0.010579,0.0053572
-0.010207,-0.011095,0.0052433
-0.010341,-0.011063,0.005211
-0.010502,-0.010605,0.0053895
-0.0021839,-0.014981,0.0013737
-0.0024009,-0.015652,0.001501
-0.0021016,-0.015136,0.001376
-5.6178e-05,-0.0044121,0.00023841
0,0,0
-5.49e-05,-0.0023706,0.00011921
-5.4205e-05,-0.002313,0.00011921
0,0,0
0.00019689,-0.00050886,0.00025062
0.00018191,-0.00043922,0.00024851
0.0001707,-0.00047937,0.00024294
0.00018963,-0.00047388,0.00024957
0.00017667,-0.00045913,0.00024572
0.00018374,-0.00049423,0.00024678
-4.1258e-05,-0.0011033,0.00019289
-8.0693e-05,-0.00116,0.000184
-3.8142e-05,-0.0012103,0.00019661
-6.1057e-05,-0.0011321,0.00018845
-5.9666e-05,-0.0011855,0.0001903
-3.9864e-05,-0.0011567,0.00019475
-0.016249,-0.007731,0.0040864
-0.015957,-0.0074775,0.0039273
-0.016227,-0.0077267,0.0040159
-0.0051796,-0.017239,0.0026625
-0.0056561,-0.017154,0.0029917
-0.0048965,-0.017579,0.0027127
-0.0054236,-0.01723,0.0028271
-0.0052725,-0.017393,0.0028522
-0.0050441,-0.017414,0.0026876
0.00038307,-0.0004732,0.00039141
0.00039542,-0.00047401,0.00038416
0.00040811,-0.00051514,0.0003915
0.00038985,-0.00047445,0.00038779
0.00040205,-0.00049463,0.00038783
0.00039596,-0.0004941,0.00039146
-0.0053618,-0.017403,0.0030336
-0.0055135,-0.017282,0.0030127
-0.0051325,-0.017521,0.0028731
-0.0034294,-0.017998,0.0032896
